ISBN,Title,PublicationPlace,PublicationDate,Edition,AuthorNames
9780748711147,A Building Craft 'Foundation' NVQ: Common Core,Cheltenham,1991,,Brett Peter
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"tion; Numeracy""",Nelson Thornes,,,,
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"tion; Numeracy""",Nelson Thornes,,,,
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"ction; Numeracy""",Nelson Thornes,,,,
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"tion; Numeracy""",Nelson Thornes,,,,
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"affolding; Materials; construction; Numeracy""",Nelson Thornes,,,,
9780748765317,A Building Craft Foundation,Cheltenham,2002,2nd,Brett Peter
"struction; Numeracy""",Nelson Thornes,,,,
9780748781843,A Building Craft Foundation,Cheltenham,2007,3rd,Brett Peter
0273617044,A Business Plan,London,1995,,West Alan
0713663200,A career handbook for tv radio film video & interactive media,LONDON,2003,,Llewellyn Shiona; Walker Sue
0421346205,A Casebook on Contract,London,1987,,Smith John Cyril
9780421424500,A Casebook on Contract,London,1992,9th,Smith John Cyril; Thomas Joseph Anthony Charles
0421535903,A Casebook on Tort,London,1996,8th,Weir Tony
018214102069,A Cat in the Family a Quarterly,Neptune NJ,1996,,Birr Uschi
0283997559,A Century of Childhood,London,1988,1st,HUMPHRIES Steve; Mack Joanna; Perks Robert
0901905704,A century of northern life,Belfast,1995,1st,Phoenix Eamon
0435456385,A Certificate: Computer Maintenance and Installation,Oxford,2004,,Lawson Jenny
0435456385,A Certificate: Computer Maintenance and Installation,Oxford,2004,,Lawson Jenny
0551027975,A channel of peace: The story of the Corrymeela Community,London,1993,1ST,Davey Ray
A166,A charter for patients and clients,,1992,1ST,
0752837508,A child called 'It',London,2001,,Pelzer David J.
,A child grows: the first year,London,2003,,Schrank Louise Welsh
0753504545,A children's treasury of Milligan:  classic stories and poems,London,2001,,Milligan Spike
9780571092611,A Choice of Swinburne's Verse,London,1973,,Nye Robert
9780571091843,A Choice of Tennyson's Verse,London,1971,,Cecil David Lord
9780194791137,A Christmas Carol, Oxford,2007,,Dickens Charles
9780194791137,A Christmas Carol, Oxford,2007,,Dickens Charles
9780194791137,A Christmas Carol, Oxford,2007,,Dickens Charles
1861684223,A classless society?,,2008,,Firth Lisa
436350106,A Clergyman's Daughter,LONDON,,,Orwell George
0241895561,A closer look at plant life,London,1978,1ST,Stonehouse Bernard
0854063617,A Code of Procedure for Measurement of Building Works,,1992,rev ,Royal Institution of Chartered Surveyors
1856278859,A Collectors Guide to Swords Daggers & Cutlasses,London,1997,2nd,Weland Gerald
0723408637,A colour atlas of dermatology,Spain,1974,,Levene Gerald M.; Calnan Charles D.
0706405137,A colour guide to familiar sea and coastal birds,London,1975,,Felix Jiri
9780582552388,A Communicative Grammar of English,Harlow,1975,,Svartvik Jan; Leech Geoffrey
9780582552388,A Communicative Grammar of English,Harlow,1975,,Svartvik Jan; Leech Geoffrey
0715385992,A Complete Crochet Course,London,1984 reprint 1987,,Kent Muriel
9780748700752,A Complete GCSE Mathematics General Course,Cheltenham,1989,2nd ,Greer A.
9780748713899,A Complete GCSE Mathematics Higher Course,Cheltenham,1992,3rd ,Greer Alex
9780748713899,A Complete GCSE Mathematics Higher Course,Cheltenham,1992,3rd ,Greer Alex
1845092422,A complete guide to manicure & pedicure,Leicester,2005,,Toselli Leigh
0713653892,A complete guide to Sports Nutrition - How to eat for maximum performance,LONDON,2000,3rd,Bean Anita
0713653892,A complete guide to Sports Nutrition - How to eat for maximum performance,LONDON,2000,3rd,Bean Anita
9780333319741,A comprehensive practical geometry for builders,Basingstoke,1981,,Emary Alfred B.
9780199146604,A Concise Advanced Geography,Oxford,1995,,Bayliss Tim
0748704558,A concise course in A-level statistics,Cheltenham,1990,2nd ed,Crawshaw Janet; Chambers Joan
9780192861108,A Concise dictionary of chemistry,Oxford,1990,,Daintith John
9780340574966,A concise dictionary of correct English,London,1993,,Phythian B. A.
9781405473316,A Concise Guide to Cats,Bath,2010,,Williams Emily
9781405473316,A Concise Guide to Cats,Bath,2010,,Williams Emily
9781405488006,A Concise Guide to Horses and Ponies,Bath,2010,,Clark Corinne
9780304292370,A Concise History of Germany,London,1973,,Russell Francis
0486602559,A concise history of mathematics,New York,1987,4th rev. ed.,Struik Dirk Jan
9780304292387,A Concise History of Mexico,London,1973,,Alba Victor
9780304292387,A Concise History of Mexico,London,1973,,Alba Victor
9780500181478,A Concise History of Modern Painting,London,1974,3rd,Read Herbert
9780500181478,A Concise History of Modern Painting,London,1974,3rd,Read Herbert
9780500201411,A Concise History of Modern Painting,London,1974,New ed.,Read Herbert
9780500201411,A Concise History of Modern Painting,London,1974,New ed.,Read Herbert
0713522003,A Concise Human Biology and Hygiene,London,1984,Rev,Minett Pamela
0713522003,A Concise Human Biology and Hygiene,London,1984,Rev,Minett Pamela
9780198111382,A Concordance to Milton's English Poetry,London,1972,,Ingram William; Swaim Kathleen
1861682042,A Consumer Society,Cambridge,2002,New ed,Donnellan Craig
1861682042,A Consumer Society,Cambridge,2002,New ed,Donnellan Craig
1861682042,A Consumer Society,Cambridge,2002,New ed,Donnellan Craig
1861682042,A Consumer Society,Cambridge,2002,New ed,Donnellan Craig
0752884492,A Cool Head,London,2009,,Rankin Ian
1853680036,A Creative Guide to Patchwork and Applique,London,1988,1ST,Turpin-Delport Lesley
9780803988446,A Crisis in Care? Challenges to Social Work,London UK,1993,,Clarke John
"as students of sociology and psychology.""",,361.30941/CLAR,Newtownabbey,General Loan,£29.99
,A Critical Commentary on Spenser's 'The Faerie Queene',London,1969,,Gransden K. W.
,A Critical Commentary on Thomas Hardy's 'The Mayor of Casterbridge',London,1966,,Pinion F. B.
9780436121081,A Critical History of English Literature - Volume 1,London,1969,2nd,Daiches David
