ISBN,Title,PublicationPlace,PublicationDate,Edition,AuthorNames
9780851394688,New Metric Handbook,London,1979,,Adler David; Tutt Patricia
9780750608534,New Metric Handbook,Oxford,1979,3rd,Adler David; Tutt Patricia
9780750608534,New Metric Handbook,Oxford,1979,3rd,Adler David; Tutt Patricia
9781905654611,New Moon,London,2007,,Meyer Stephenie
0198602618,New Oxford thesaurus of English,Oxford,2000,,Hanks Patrick
9780174386810,New Patterns: Process and Change in Human Geography,Walton-on-Thames,1997,,Carr Michael
0140514546,New Penguin dictionary of the theatre,London,2001,,Law Jonathan
0415010411,New Perspectives on Human Resource Management,London,1989,,Storey John
9780415070423,New Perspectives on the Welfare State in Europe,London,1993,,Jones Catherine
9780415070423,New Perspectives on the Welfare State in Europe,London,1993,,Jones Catherine
1844803376,New Playwork,London,2006,4th,Davy Annie; Gallagher Jane
1844803376,New Playwork,London,2006,4th,Davy Annie; Gallagher Jane
1844803376,New Playwork,London,2006,4th,Davy Annie; Gallagher Jane
1844803376,New Playwork,London,2006,4th,Davy Annie; Gallagher Jane
0751311677,New pregnancy and birth book:  the complete practical guide for all parents-to-be,London,2001,,Stoppard Dr. Miriam
1841981265,New reading and thinking 1.  Exercises in inferential comprehension,,2000,,
1841981265,New reading and thinking 1.  Exercises in inferential comprehension,,2000,,
1841981273,New reading and thinking 2. Exercises in inferential comprehension,,2000,,
1841981281,New reading and thinking 3.  Exercises in inferential comprehension,,2000,,
1841981281,New reading and thinking 3.  Exercises in inferential comprehension,,2000,,
184198129X,New reading and thinking 4.  Exercises in inferential comprehension,,2000,,
184198129X,New reading and thinking 4.  Exercises in inferential comprehension,,2000,,
1841981303,New reading and thinking 5.  Exercises in inferential comprehension,,2001,,
1841981303,New reading and thinking 5.  Exercises in inferential comprehension,,2001,,
1841981613,New reading and thinking 6.  Exercises in inferential comprehension,,2002,,
1841981613,New reading and thinking 6.  Exercises in inferential comprehension,,2002,,
0853644101,New Testament Foundations : A Guide for Christian Students Vol 1,Carlisle,1994,Rev ed,Martin Ralph P.
9780851117256,New Testament Introduction,London,1970,3rd,Guthrie Donald
0091902584,New toddler taming : a parents' guide to the first four years,London,2006,Rev. and updated ed.,Green Christopher
0071232729,New Venture Creation: Entrepreneurship for the 21st Century,New York,2004,6th ,Timmons Jeffry A.; Spinelli Stephen
0823031748,New Ways of Gravure: Innovative techniques of printmaking taken from the studio of a master craftsman.,New York,1981,Rev. ed.,Hayter Stanley William
0600564207,New Ways to Perfect Cooking,London,1989,1ST,Patten Marguerite
9780713433845,New Ways with Macrame,London,1981,,Hargreaves Joyce
9780194234238,New York Cafe, Oxford,2007,,Dean Michael
9780194234238,New York Cafe, Oxford,2007,,Dean Michael
9780194234238,New York Cafe, Oxford,2007,,Dean Michael
9780194790673,New Yorkers Short Stories, Oxford,2007,,Henry O.; Mowat Diane
9780194790673,New Yorkers Short Stories, Oxford,2007,,Henry O.; Mowat Diane
9780750657853,Newnes building services pocket book,Amsterdam,2004,2nd ed,Knight John; Jones William Peter
9780750621489,Newnes Building Services Pocket Book,Oxford,1995,,Knight John; Jones Peter
0750616660,Newnes construction materials pocket book,Oxford,1994,,Doran David
0750639288,Newnes Control Engineering Pocket Book,Oxford,1998,,Bolton William
043490113X,Newnes engineering materials pocket book,London,1989,,Bolton William
0750628863,Newnes Engineering Materials Pocket Book,Oxford,1996,2nd,Bolton William
0750630043,Newnes Mathematics Pocket Book for Engineers,Oxford,1997,2nd,Bird John O.
0750632623,Newnes Mechanical Engineer's Pocket Book,Oxford,1997,2nd,Timings Roger Leslie; May A. J. C.
0750646004,Newnes radio and RF engineers pocket book,Oxford,1999,2nd ed,Davies John; Carr Joseph J.
0415199247,News and Journalism in the UK: A Text Book,London,1999,3RD,McNair Brian
0752217763,News at ten : a celebration of 32 years of television news,London,1999,,Stanley David
0750603992,Newspaper Language,Oxford,1993,,Bagnall Nicholas
1898059063,Next Steps in Counselling: A Student's Companion for Certificate and Counselling Skills Courses,Ross-on-Wye,1995,2006 ,Frankland Alan; Sanders Pete
0431013470,Next Stop Germany,,1998,,Martin Fred
09000002,NHS Mother and Child - Pamphlet,???,2003,,
,Nicholas Nickleby,London,1953 1973 reprint ,,Dickens Charles
0460874802,NICHOLAS NICKLEBY,LONDON,,,Dickens Charles
034077665X,NICOLE KIDMAN - LIVEWIRE REAL LIVES,Sevenoaks,,,Holt Julia
9781841151441,Nigel Slater's Real Food,London,2000,,Slater Nigel
0571113737,Night and Day,London,1979,2ND,Stoppard Tom
0340800801,Night Fishing,Sevenoaks,2001,,Iseard Marian
,Night Train to Scaryville,,2012,,Carville Declan; Harpur's Hill Primary School; St Malachy's Primary School; Millburn Primary School; St.John's Primary School
,Night Train to Scaryville,,2012,,Carville Declan; Harpur's Hill Primary School; St Malachy's Primary School; Millburn Primary School; St.John's Primary School
9781409103523,Nine Dragons,London,2010,,Connelly Michael
0901905518,Nine Ulster Lives: Ernest Walton Claude Auchinleck John Lavery Charles Gavan Duffy John Dunlop William Patterson John Abernethy Owen Roe O'Neill,Belfast,1992,,O'Brien Gerard; et al
0452262933,Nineteen Eighty-Four,London,1983,,Orwell George
0452262933,Nineteen Eighty-Four,London,1983,,Orwell George
9780333245743,Nineteenth Century Britain,Basingstoke,1980,,Brown Richard; Daniels Christopher
9780333245743,Nineteenth Century Britain,Basingstoke,1980,,Brown Richard; Daniels Christopher
0905272080,NINETEENTH CENTURY BRITAIN,,,,Hardman Andrew
0582353106,Nineteenth century Britain : 1815-1914,Harlow,1982 reprint 1998,2nd ed,Wood Anthony
9780582313910,Nineteenth Century Education,London,1970,,Midwinter Eric
0582313910,Nineteenth century education,London,1979,,Midwinter Eric
9780333269220,Nineteenth Century English Literature,London,1983,,STONYK MARGARET
0717132994,Nineteenth century Ireland : the search for stability,Dublin,2005,Rev. ed.,Boyce David George
0717116212,Nineteenth-Century Ireland The Search For Stability,Dublin,1992,,Boyce David George
0717116212,Nineteenth-Century Ireland The Search For Stability,Dublin,1992,,Boyce David George
0816024863,Nineteenth-Century Writers,Oxford,1991,,Otfinoski Steven
,NISCC News (Spring 2013),Belfast,2013,,
,NISCC News - Autumn 2013,Belfast,2013,,
,NISCC news [February 2009],Belfast,2009,,
,NISCC news [February 2010],Belfast,2010,,
0801110,NISCS news [Spring 2008],Belfast,2008,,
0118808095,Nitrous fumes - booklet no. 5,London,1975,3rd,Health and Safety Executive for Northern Ireland
0747527261,Nixon: an Oliver Stone film,London,1995,1ST,Hamburg Eric
A00215417028,No 1 Alba Compact disc radio cassette recorder,,,,
A002115417026,No 3 Alba Compact disc/radio/cassette recorder,,,,
1844000281,No cook cookbook : over 200 simple recipes and ideas for mouthwatering meals without  : cooking,London,2003,,Murrin Orlando
9781842233054,No Deals: An Addict's Journey into Freedom,Dublin,2007,,Burke Jackie; Woods Brenda
9781842233054,No Deals: An Addict's Journey into Freedom,Dublin,2007,,Burke Jackie; Woods Brenda
9781842233054,No Deals: An Addict's Journey into Freedom,Dublin,2007,,Burke Jackie; Woods Brenda
9781842233054,No Deals: An Addict's Journey into Freedom,Dublin,2007,,Burke Jackie; Woods Brenda
9781842233054,No Deals: An Addict's Journey into Freedom,Dublin,2007,,Burke Jackie; Woods Brenda
1902602323,No Dress Rehersal,,2000,,Keyes Marian
1902602323,No Dress Rehersal,,2000,,Keyes Marian
0753507706,No Frills - The truth behind the low cost revolution in the skies,London,2003,,Calder Simon
9780856403835,No Surrender an Ulster Childhood,Dundonald,1987,,Harbinson Robert
9780802714077,Nobody's Baby Now Reinventing Your Adult Relationship with Your Mother and Father,New York,2003,,Newman Susan
0340897333,NOCTURNES,Sevenoaks,2004,,Connolly John
9780413158307,Noel Coward Autobiography,London,1987,,
0860958825,Noise Assessment and Control,London,1981,,Mulholland K. A.; Attenborough K.
0906050006,NOISE IN INDUSTRY,,,,Commercial Union Risk Management Limited
057110813X,North,London,1975,1ST,HEANEY Seamus
0340692615,North America - A Geographical Mosaic,London,1999,,Boal Frederick Wilgar; Royle Stephen A.
9780714180557,North American Indian Designs,London,1984,,Wilson Eva
0719535298,NORTH TO OAK ISLAND,,,,Bromley Dudley
0330261401,NORTH-SOUTH: A PROGRAMME FOR SURVIVAL,London,1981,,Independent Commission on International Development Issues
0701112344,NORTHANGER ABBEY,LONDON,,,Austen Jane
,Northanger Abbey and Persuasion,London,1953 1968 reprint ,,Austen Jane; Johnson R. Brimley
9780521274548,Northern Ireland,Cambridge,1987,,Dalton Godfrey; Murray Peter
052120027X,Northern Ireland,Cambridge,1974,,Hill Douglas Arthur
9780856403651,Northern Ireland,Belfast,1986,,HILL Ian
9780856403651,Northern Ireland,Belfast,1986,,HILL Ian
085640571X,Northern Ireland,Belfast,1986,,Hill Ian; Blair Robert; Kirk Bill
337010137,Northern Ireland 1921-1971,Belfast,1971,,Shearman Hugh
0856405272,Northern Ireland A Political Directory 1968-1993,Belfast,1994,3RD ED,Flackes William D.; Elliott Sydney
034062034X,Northern Ireland and its Neighbours since 1920, Sevenoaks England,1995,,Gillespie Sandra
034062034X,Northern Ireland and its Neighbours since 1920, Sevenoaks England,1995,,Gillespie Sandra
0717122743,Northern Ireland environmental law,Dublin,1997,,Turner Sharon; Morrow Karen; Faris Neil
,Northern Ireland Human Rights Commission,Belfast,2004,,Northern Ireland Human Rights Commission
0901905690,Northern Ireland In the Second World War,Belfast,1995,,Barton Brian
,Northern Ireland Interim Implementation Plan for the UK Influenza Pandemic Contingency Plan.,Belfast,2005,Rev ed.,Department of Health Social Services and Public Safety Northern Ireland
0717123405,Northern Ireland Planning Law,Dublin :,1995,,Dowling J. A.
0856404993,Northern Ireland Scientists and Inventors,Belfast,1993,1ST,Garvin Wilbert; O'Rawe Des; Northern Ireland Education Support Unit
NI198312,Northern Ireland since 1920,DUBLIN,1983,,Harkness David
C271,Northern Ireland Since 1920,Dublin,1983,,Harkness David
1904105033,Northern Ireland Summary of Social Security Statistics 2001,Belfast,2001,,Statistics and Research Branch (DSD)
1904105041,Northern Ireland Summary of Social Security Statistics 2002,Belfast,2002,,Statistics and Research Branch (DSD)
1904105076,Northern Ireland Summary of Social Security Statistics 2003,Belfast,2003,,Statistics and Research Branch (DSD)
1904105114,Northern Ireland Summary of Social Security Statistics 2004,Belfast,2004,,Social Welfare Statistics and Consultancy Branch
1904105173,Northern Ireland Summary of Social Security Statistics 2005,Belfast,2005,,Social Welfare Statistics and Consultancy Branch
9780904651898,Northern Ireland the Background to the Conflict,Belfast,1983,,
,Northern Ireland: Take a closer look ...,,2004,,Office of the First Minister and Deputy First Minister
,Northern Ireland:Take a Closer Look,Belfast,2004,,Office of First Minister
9781855850675,Northern Life,London,1991,,ATKINSON FRANK
717107639,Northern Voices: Poets from Ulster,Dublin,1975,,Brown Terence
717107639,Northern Voices: Poets from Ulster,Dublin,1975,,Brown Terence
085640375X,Northern windows : an anthology of Ulster autobiography,Belfast,1987,,Ormsby Frank
9780510389093,Norway,London,1972,,Popperwell Ronald George
9780582150744,Norwich,Harmondsworth,1973,,Haymon Sylvia
953516,NOSTROMO,LONDON,,,Conrad Joseph
1853261742,NOSTROMO,LONDON,,,Conrad Joseph
1900990121,Not Just a Nursery...Multi-agency Early Years Centres in Action,London,1997,,Makins Virginia
1902602153,Not Just for Christmas,,1999,,Doyle Roddy
1902602153,Not Just for Christmas,,1999,,Doyle Roddy
0141015667,Not on the label : what really goes into the food on your plate,London,2004,,Lawrence Felicity
9781858810683,Not Yet,London,1995,,Gibbons Alan
9780415290050,Notational Analysis of Sport: Systems for Better Coaching and Performance in Sport,London,2004,2nd,Hughes Mike; Franks Ian M.
0299191540,Note-Taking Made Easy,Madison Wis.,2003,,Kesselman-Turkel Judi; Peterson Franklynn
0299191540,Note-Taking Made Easy,Madison Wis.,2003,,Kesselman-Turkel Judi; Peterson Franklynn
0299191540,Note-Taking Made Easy,Madison Wis.,2003,,Kesselman-Turkel Judi; Peterson Franklynn
0140442529,NOTES FROM THE UNDERGROUND THE DOUBLE,lONDON,,,Dostoyevsky Fyodor
714200301,Notes on Bronte (C.) Jane Eyre,Somerset,n.d.,Rev ed.,Bronte Charlotte; Goad Kathleen M.
71967COL,Notes on Browning's works,Toronto,1972,,Grosskurth Phyllis
838305695,NOTES ON CHAUCER,NEW YORK,1982,,Hinckley Henry
0413348407,Notes on John Steinbeck's 'Of Mice and Men',London,1976,,Burton H. M.
,Notes on the History of Mr. Polly and other works,London,1968; 1973,,Huddington James
0582781825,Notes on The Nun's Priest's Tale Chaucer,London,1980,,Spackman Anna
,Notes on Under the Greenwood Tree and other works,London,1963 reprint 1968,,Hardy Thomas
9780571063130,Notes towards the Definition of Culture,London,1962,,Eliot Thomas Stearns
9780553824414,Nothing to lose,London,2009,,Child Lee
9780199120857,Nous les Francais - part 1,Oxford,1987,,Rowlinson William
9780199120864,Nous les Francais - part 1 teacher's book,Oxford,1987,,Rowlinson William
9780199120901,Nous les Francais - part 2,Oxford,1988,,
9780199120918,Nous les Francais - part 2 teacher's book,Oxford,1988,,Rowlinson William
,NRC corporate development plan 2011-2014,Belfast,2011,,Northern Regional College
080068715,Nuclear Power Generation - volume 8,Oxford,1971,2nd,Central Electricity Generating Board
0582046033,Nuffield biology living things and their environment - text 3,Harlow,1996,Revised ed,Nuffield Science Teaching Project; Monger Grace; Wood-Robinson Colin
1603685281,Number: skillbuilders level 1,Shrewsbury,2003,,Garner Jayne; Collins Joy
1903685290,Number: skillbuilders level 2,Shrewsbury,2003,,Garner Jayne; Collins Joy
0333359364,Numbers At Work,London,1983,,Gillespie John
0860821552,Numbers at work : making numbers work for you,Cambridge,1980,,Gillespie John T.
A354,Numeracy - Diagnostic Assessment Materials. Tutor Materials. Resources - Materials for Assessing Adult Numeracy - Entry 1-3 Level 1 and 2 Milestones 5-6 7 and 8.,,2004,,
9780953162635,Numeracy Revision for Adults and Students,Chester,1999,,Joinson Robert
9780953162635,Numeracy Revision for Adults and Students,Chester,1999,,Joinson Robert
9780521880688,Numerical Recipes: the Art of Scientific Computing,New York USA,2007,3rd,Press William H.; Teukolsky Saul A.; Vetterling William T.; Flannery Brian P.
 9780198850984,Numismatics,London,1975,,Grierson Philip
9780748775484,Nursery Management,Cheltenham,2004,2nd,Sadek Elizabeth; Sadek Jacqueline
9780748775484,Nursery Management,Cheltenham,2004,2nd,Sadek Elizabeth; Sadek Jacqueline
9780748775484,Nursery Management,Cheltenham,2004,2nd,Sadek Elizabeth; Sadek Jacqueline
9780748775484,Nursery Management,Cheltenham,2004,2nd,Sadek Elizabeth; Sadek Jacqueline
0874348986,Nurses' Handbook of Alternative & Complementary Therapies,Pennsylvania,1998,,
0874348986,Nurses' Handbook of Alternative & Complementary Therapies,Pennsylvania,1998,,
9780415101981,Nursing & Social Change,London,1995,3rd,Baly Monica E.
0070092095,Nursing and the Aged,New York,1976,,Burnside Irene Mortenson
9780748733279,Nursing Children Psychology Research & Practice,Cheltenham,1999,3rd,TAYLOR JAYNE
9780415138369,Nursing History and the Politics of Welfare,London,1996,,Elkan Ruth; Rafferty Anne Marie; Robinson Jane
0632052260,Nursing in care homes,Oxford,2002,2,Nazarko Linda
9780333416655,Nursing Models and the Nursing Process,London,1986,,Aggleton Peter; Chalmers Helen
9780750615976,Nursing Models for Practice,Oxford,1996,2nd,Fitzgerald Mary; Pearson Alan; Vaughan Barbara
0340692308,Nursing practice and health care : a foundation text,London,1998,3rd,Hinchliff Susan M.; Norman Susan E.; Schober Jane E.
9781446240991,Nursing Research An Introduction,London UK,2014,2nd,Moule Pam; Goodman Margaret
9780333699188,Nursing Research Principles Process and Issues,London,1997,,Parahoo Kader
9780333352090,Nursing the adult with a specific physiological disturbance,London,1983,,Hunt Patricia Jane; Sendell Bernice
9780870811548,Nursing the Philosophy and Science of Caring,Niwot CO,1985,,Watson Jean
9780415142236,Nursing Theories and Models,London,2000,,McKenna Hugh
9780415142236,Nursing Theories and Models,London,2000,,McKenna Hugh
9781848720572,Nurturing Natures: Attachment and Children's Emotional Socio-cultural and Brain Development,Hove UK,2011,,Music Graham
0946170142,Nutrition and Cancer: State of the Art ,London,1995,,Goodman Sandra
9781861685773,Nutrition and diet,Cambridge,2011,,Firth Lisa
1873732090,Nutrition and Dietetics,Edinburgh,1994,,Pender Frederic
1873732090,Nutrition and Dietetics,Edinburgh,1994,,Pender Frederic
0340643463,Nutrition and Food Hygiene,London,1996,,Hudson Philippa; Symonds Catherine
0340643463,Nutrition and Food Hygiene,London,1996,,Hudson Philippa; Symonds Catherine
0340643463,Nutrition and Food Hygiene,London,1996,,Hudson Philippa; Symonds Catherine
0340643463,Nutrition and Food Hygiene,London,1996,,Hudson Philippa; Symonds Catherine
0443103410,Nutrition and sport,Edinburgh,2007,,MacLaren Don
,Nutrition and Stroke,Vevey Switzerland,c1996,,Nestle Nutrition Services
0435402382,Nutrition and Well-being,London,2008,,Aldworth Carolyn
0435402382,Nutrition and Well-being,London,2008,,Aldworth Carolyn
NEI23636,Nutrition Fact File - Factsheets on Diet and Health,Northern Ireland ,1997,,Health Promotion Agency for Northern Ireland
,Nutrition Fact File: factsheets on diet and health,Belfast,1997,,Health Promotion Agency for Northern Ireland
1841260037,NUTRITION IN SPORT,OXFORD,2001,,Neumann Georg; Newmann Geog
,Nutrition Matters for the Early Years: guidance for feeding under fives in the childcare setting,Belfast,c2003,,Health Promotion Agency for Northern Ireland
0812111141,Nutrition weight control and exercise,USA,1988,,Katch Frank I.
9781861529084,Nutrition: A Practical Approach,Australia ,2003,,Le Quesne Suzanne
9781861529084,Nutrition: A Practical Approach,Australia ,2003,,Le Quesne Suzanne
9780323008433,Nutritional Care,St Louis MS,2001,4th,Courtney Moore Mary
9780421924109,Nutshells: Contract Law,London,2006,7th,Duxbury Robert
9780421891906,Nutshells: Tort,London,2005,7th,Bermingham Vera
A135,Nvq Pack,London,1988,1ST,
0749437111,NVQ's & how to get them,London,2002,3,Dakers Hazel
  0632052252,NVQs in Nursing and Residential Care Homes,Oxford,2000,2nd,Lazarki Linda
  0632052252,NVQs in Nursing and Residential Care Homes,Oxford,2000,2nd,Lazarki Linda
0749403659,NVQs Standards and Competence,London,1991,,Fletcher Shirley
9174343335,Nyborjarsvenska Exercise Book [Swedish] : ,Sweden,1982,,Goransson Lindholm
9174343327,Nyborjarsvenska Textbook [Swedish] : ,Sweden,1981,,Goransson Ulla
9780099574231,NYPD Red 2,London UK,2014,,Patterson James
1842991027,Oartners in Crime,,2003,,HINTON Nigel
1842991027,Oartners in Crime,,2003,,HINTON Nigel
0340701153,OASIS - LIVEWIRE REAL LIVES,Sevenoaks,,,Wilson Mike
0749662980,Obesity and health,London,2005,,Hibbert Adam
0749662980,Obesity and health,London,2005,,Hibbert Adam
0201309947,Object technology : a manager's guide,Reading Mass.,c1998,2nd ed,Taylor David A.
1590596196,Object-Oriented ActionScript for Flash 8,Berkeley Calif.,2006,,Elst Peter; et al
032117660X,Object-oriented game development,,2004,,Gold Julian
1858052327,Object-oriented programming in C++,London,1997,2nd ,Parsons David
0134897250,Object-oriented software engineering : conquering complex and changing systems,Upper Saddle River N.J.,c2000,,Bruegg Bernd; Dutoit Allen H.
0077095448,Object-oriented system development : a gentle introduction,London,c2000,,Britton Carol
9780003202564,Objective bac 2,London,2000,,Pillette  Martine; Graham Suzanne
9780710072474,Objectives and Perspectives in Education,London,1972,,Morris Ben
0131249339,Objects first with Java : a practical introduction using Blue J,,2005,2nd ed.,Barnes David J.; Kölling Michael
9780500274125,Objects of Desire,New York,2005,,Forty Adrian
9780571146116,Observe the Sons of Ulster Marching Towards the Somme,London,1986,,McGuinness Frank
0304332615,Observing Children,London,1995,,Sharman Carole; Cross Wendy; Vennis Diana
0304332615,Observing Children,London,1995,,Sharman Carole; Cross Wendy; Vennis Diana
0826472389,Observing children,,2003,3,Sharman Carole
0826472389,Observing children,,2003,3,Sharman Carole
0826492738,Observing children and young people,,2007,4th ed.,Cross Wendy; Sharman Carole; Vennis Diana
0826458084,Observing Children: A Practical Guide,London,2000,2nd,Sharman Carole; Cross Wendy; Vennis Diana
0826458084,Observing Children: A Practical Guide,London,2000,2nd,Sharman Carole; Cross Wendy; Vennis Diana
9780859730082,Observing safe practices and moving loads,Amersham,1984,,Farnworth Dr. G. H.; et al
0632048328,Occupational Health,Oxford,1998,4th,Gill F. S.; Harrington J. Malcolm
9780750645577,Occupational health and hygiene,Oxford,1999,,Channing John; Ridley John R.
9780712110679,Occupational Health and Safety Law,London,1997,3rd,Barrett Brenda
9780750627207,Occupational Health Practice,Oxford,1997,4th,Waldron H. A.; Edling Christer
0750629487,Occupational Stress - A Practical Approach,Oxford,1997,,Addley Ken
0748733027,Occupational Stress : Personal and Professional Approaches,Cheltenham,1998,,Hardy Sally; Carson Jerome; Thomas Ben 
0748733027,Occupational Stress : Personal and Professional Approaches,Cheltenham,1998,,Hardy Sally; Carson Jerome; Thomas Ben 
09000071,Occupiers Manual - Energy Efficiency in Advance Factory Units,Watford,1993,,Building Research Energy Conservation Support Unit
0500202818,Oceanic Art,London,1995,,Thomas Nicholas
0563361204,Oceans - conserving animals and plants in a changing world,LONDON,1992,,Davies Nick
0435806939,OCR A2 Psychology,London,2008,1st,Bainbridge Alan; Collier William
0435691805,OCR Biology,London,2008,,Hocking Sue; Kennedy Pete; Sochacki Frank
,OCR Biology - exam cafe: relax refresh result!,Harlow,2008,,Hocking Sue; Kennedy Pete; et al
0435691902,OCR biology A2 level,London,2008,,et al; Hocking Sue
9781444123746,OCR Business and Administration NVQ Level 2,Abingdon,2011,,SUTHERLAND JON; Sutherland Diane
9781444142488,OCR Business and Administration NVQ Level 3,Abingdon,2011,,SUTHERLAND JON; Sutherland Diane
9780435312633,OCR History A. The Unifcatioin of Italy 1915-70, Harlow,2008,,Collier Martin
9780340958711,OCR Media Studies for A2,London,2009,,McDougall Julian
9781905292776,OCR Nationals ICT: Level 3,Essex,2009,,Anderson Karen; Manson Graham; White Veronica
9780435691950,OCR Physics A2,Harlow,2008,,Hackett Roger; Hutchings Robert
0435691953,OCR Physics A2,London,2008,,Hackett Roger; Hutchings Robert
0435691821,OCR physics AS level,London,2007,,Hacket Roger; Hutchings Robert
,OCR Psychology - exam cafe: relax refresh result!,Harlow,2008,,Bainbridge Alan; Collier William; et al
0435270192,OF MICE AND MEN,London,,,Steinbeck John
800097,Of Mice and Men,Peterborough,,,Steinbeck John
1843153122,Of Mice and Men,London,2004,,Martin Stewart
1843153122,Of Mice and Men,London,2004,,Martin Stewart
0856761532,Of mice and men,London,1991,1ST ED REPRINT,Steinbeck John
1844892263,Of Mice and Men,Deddington Oxfordshire,2005,,Eddy Steve
1844892263,Of Mice and Men,Deddington Oxfordshire,2005,,Eddy Steve
5050070009385,Of Mice and Men,USA,1992,,Steinbeck John
0140292918,Of Mice and Men,London,1937,2000,Steinbeck John
0140292918,Of Mice and Men,London,1937,2000,Steinbeck John
0140292918,Of Mice and Men,London,1937,2000,Steinbeck John
0140292918,Of Mice and Men,London,1937,2000,Steinbeck John
0582461464,Of Mice and Men,Harlow,1937,2000,Steinbeck John
0582461464,Of Mice and Men,Harlow,1937,2000,Steinbeck John
0582461464,Of Mice and Men,Harlow,1937,2000,Steinbeck John
0002189402,Off the Record,London,2006,,Hayward Paul; OWEN MICHAEL
0752205218,Off the Shelf Natural Health - How to use Herbs and Nutrients to stay well,London,1995,,Mayell Mark
0132308576,Office Procedures for the 21st Century,New Jersey USA,2008,7th,Burton Sharon; Shelton Nelda
0340915358,Office Skills for New CLAiT and CLAiT Plus 2006: for Office XP,London,2006,,Clarke Alan
0600587029,Official Rules Sports and Games,London,1995,19th ,Pocock Tony
0600587029,Official Rules Sports and Games,London,1995,19th ,Pocock Tony
9780091634414,Official WTF Taekwondo,London,1986,,Mitchell David
0891344268,Oil Painting Step by Step,Cincinnati USA,1992,,Smuskiewicz Ted
,Oil Painting: means and methods,leicester,1968,,Wootton Gordon J.
1405315792,Oil-painting workshop:simple steps to success,London,2006,,Boshoff Aggy
1850070032,Oils,Hertfordshire,1987,,Holden John
1902260376,Old Bag,,1999,,Burgess Melvin
,Old Ballymena. A history of Ballymena during the 1798 Rebellion The Established Church Presbyterianism and Parochial Antiquities,Northern Ireland,1957,,
9780297789413,Old English Villages,London,1986,,Fleming Laurence; Gore Ann; Perry Clay
1902602366,Old Money New Money,,2000,,Sheridan Peter
1902602366,Old Money New Money,,2000,,Sheridan Peter
9780335191567,Older People and Community Care,Milton Keynes,1995,,
9780335191567,Older People and Community Care,Milton Keynes,1995,,
0333514815,Older People Their support & Care,London,1992,,Garrett Gill
0460104152,Oliver Goldsmith: Poems and Plays,London,1975 ,New ed. completely revised ,Goldsmith Oliver; Davis Tom
 0582331676,Oliver Goldsmith: She Stoops to Conquer,Harlow,1985 ,,Goldsmith Oliver; King Neil
,Oliver Twist,London,1954 1970 reprint ,,Dickens Charles; Hayens Kenneth 
014062046X,OLIVER TWIST,lONDON,,,Dickens Charles
0060220473,Olympic Games in ancient Greece,New York; London,1976,,Glubok Shirley; Tamarin Alfred
9780717117505,On Becoming a Counsellor: A Basic Guide for Non-Professional Counsellors,Dublin,1977,,Kennedy Eugene
9780717117505,On Becoming a Counsellor: A Basic Guide for Non-Professional Counsellors,Dublin,1977,,Kennedy Eugene
9780582092822,On Becoming a Manager in Social Work,Harlow,1992,,Darvill Giles; Hearn Barbara; Morris Beth
,On Becoming a Person,Boston,1961,,Rogers Carl R.
9780094604407,On Becoming a Person: A Therapist's View of Psychotherapy,London,1967 ,,Rogers Carl R.
9780094604407,On Becoming a Person: A Therapist's View of Psychotherapy,London,1967 ,,Rogers Carl R.
0415040159,On Death and Dying,London,1969,,Kèubler-Ross Elisabeth
0415040159,On Death and Dying,London,1969,,Kèubler-Ross Elisabeth
9780486415956,On Dreams,Mineola NY,2001,,Freud Sigmund
0862811104,On Foot in Ulster ;A J . of the Ulster Way,Belfast,1983,,Warner Alan
9780415025539,On Learning from the Patient,London,1985,,Casement Patrick
9780415025539,On Learning from the Patient,London,1985,,Casement Patrick
0240803795,On Location Recording Techniques,Great Britain,1999,1ST,Bartlett Bruce; Bartlett Jenny
014021741X,On sexuality : three essays on the theory of sexuality and other works,Harmondsworth,1977,,Freud Sigmund; Richards Angela; Strachey James
0745311113,On Television,London,1997,4TH,Hood Stuart; Tabary-Peterssen Thalia
,On the Arm of Time Ireland 1916 - 1922.,Donegal Town,1992,,O'Cuinneagain Micheal
0874843154,On the Count of One: Modern Dance methods.,California,1975,2nd,Sherbon Elizabeth
0140440097,ON THE EVE,lONDON,,,Turgenev Ivan
9780552172912,On the Rock,London,2016,,McNab Andy
9780552172912,On the Rock,London,2016,,McNab Andy
9780552172912,On the Rock,London,2016,,McNab Andy
9780552172912,On the Rock,London,2016,,McNab Andy
9780552172912,On the Rock,London,2016,,McNab Andy
9780552172912,On the Rock,London,2016,,McNab Andy
333143655,ON THE RUN,LONDON,,,Cate Dick
,On the State of the Public Health 1993. One Year on....A Report on the Progress of the Health of the Nation.,London,1993,,Department of Health
9780340747834,On the Western Circuit (Thomas Hardy),London,1999,,Leigh Peter
9781849198875,On-Site Guide: BS 7671:2008 + A3: 2015,London,2015,6th ed,Institution of Engineering and Technology
0718141415,Once upon a christmas,London,1996,,Rantzen Esther
0856402451,Once upon the lagan - The story of the lagan canal,Northern Ireland,1981,,Blair May
0571175511,One by one in the darkness,,2003,,Madden Deirdre
9780859490313,One Day in Regency England,Brighton,1974,,Scott Alastair
0586045287,ONE DAY IN THE LIFE OF IVAN DENISOVICH,LONDON,,,Aitken Gillan; Solzhenitsyn Alexander
0099522349,One Good Turn,London,2008,,Ryan Chris
0099522349,One Good Turn,London,2008,,Ryan Chris
0099522349,One Good Turn,London,2008,,Ryan Chris
